AsSOC,current,diffTime
13598.4,-8.6739,18.203
13497.4,-5.55452,18.172
13399.1,-5.40148,18.203
13549.5,8.28361,18.156
13470.9,-4.30771,18.234
13541.3,3.87608,18.157
13422.7,-6.51384,18.218
13493.9,3.92578,18.141
13350.4,-7.86239,18.25
13275.5,-4.12253,18.156
13116,-8.79562,18.141
13006.9,-6.01011,18.14
12928.4,-4.33938,18.094
13024.4,5.27185,18.203
13097.5,4.01904,18.188
13080.6,-0.928995,18.14
13213.6,7.23179,18.391
13149.3,-3.5456,18.141
12967.4,-9.95135,18.281
12850.7,-6.37869,18.297
12698.1,-8.38418,18.203
12872.7,9.55117,18.281
13004.1,7.20049,18.25
13119.8,6.34856,18.219
13088,-1.74479,18.172
13121.8,1.83691,18.375
13292.8,9.41112,18.172
13334.1,2.26386,18.218
13397.5,3.50056,18.125
13313,-4.6121,18.329
13161.2,-8.2853,18.312
13137.3,-1.31333,18.219
13164,1.45431,18.312
13304,7.62315,18.375
13395.4,4.98897,18.313
13233.5,-8.88848,18.219
13132.1,-5.55795,18.234
13264.8,7.24027,18.328
13102.4,-8.90496,18.234
13260.9,8.64443,18.329
13411.4,8.24637,18.25
13499.7,4.82066,18.328
13521.2,1.17277,18.328
13369.2,-8.28793,18.344
13435.9,3.62868,18.375
13370.8,-3.53683,18.406
13447.7,4.17872,18.422
13625.3,9.68761,18.328
13458.2,-9.14017,18.281
13333.6,-6.74398,18.484
13467.6,7.32119,18.313
13498.2,1.66984,18.328
13609.5,6.03924,18.422
13476,-7.26362,18.375
13640.1,8.86408,18.516
13741.8,5.54069,18.343
13663.9,-4.22597,18.422
13674,0.550383,18.391
13769.8,5.21413,18.359
13771.2,0.0778433,18.391
13733.5,-2.05479,18.359
13772.3,2.11232,18.391
13705.1,-3.65367,18.39
13585.9,-6.4404,18.516
13701.4,6.25069,18.484
13621.1,-4.3549,18.438
13646.4,1.36987,18.453
13756.8,5.97032,18.484
13704.6,-2.81196,18.547
13721.7,0.925469,18.438
13896.2,9.43134,18.5
13899.6,0.186593,18.484
13773.8,-6.74931,18.641
13944.6,9.26567,18.437
13970.9,1.40528,18.672
14070.7,5.39898,18.5
14078.5,0.416414,18.578
13986,-4.98736,18.547
14049.7,3.43474,18.547
14065.1,0.826605,18.609
14018,-2.5415,18.5
14199.3,9.75045,18.594
14015.9,-9.881,18.563
14135.2,6.38716,18.672
14256.3,6.53273,18.546
14206.1,-2.70262,18.579
14232.6,1.42104,18.625
14275.8,2.31376,18.687
14391.4,6.17383,18.719
14487.2,5.12392,18.703
14609.5,6.55992,18.641
14641.8,1.72817,18.687
14456.9,-9.85115,18.766
14269.8,-9.99169,18.734
14281.3,0.614516,18.703
14260.2,-1.12337,18.75
14353.3,4.93677,18.86
14499.4,7.76461,18.812
14345.7,-8.18438,18.781
14274,-3.8299,18.703
14144.4,-6.92367,18.719
14147.6,0.172446,18.735
14325.1,9.45875,18.765
14181.4,-7.6055,18.906
14257.6,4.06803,18.735
14174.1,-4.40858,18.922
14343,8.95907,18.843
14424.9,4.35768,18.813
14312.6,-5.93557,18.922
14485.2,9.1429,18.875
14382.6,-5.43512,18.875
14502.1,6.3151,18.922
14454,-2.56482,18.75
14468.6,0.76641,18.968
14396,-3.8325,18.922
14369.4,-1.40478,18.938
14291.2,-4.12575,18.969
14139.9,-8.0365,18.828
14066.8,-3.85021,18.984
13984.4,-4.31442,19.094
14065.1,4.21849,19.125
13967.5,-5.10515,19.109
13877.3,-4.73152,19.063
13842.1,-1.8508,19.015
13704.1,-7.24798,19.047
13589.9,-5.96063,19.156
13666.8,4.00736,19.204
13695.7,1.50444,19.156
13857.7,8.51502,19.031
13866.6,0.464015,19.125
14040.8,9.1252,19.094
13905.1,-7.08722,19.156
14041.6,7.08121,19.281
14157.8,6.02889,19.282
14007.5,-7.7939,19.296
14131.9,6.49841,19.157
14124.6,-0.381203,19.234
14091.5,-1.72042,19.25
14116.7,1.31455,19.172
14206.4,4.64908,19.297
14258.8,2.70826,19.328
14376.4,6.07418,19.375
14288.6,-4.5488,19.312
14321.3,1.69285,19.297
14138.3,-9.45606,19.344
14203.1,3.3431,19.359
14302.6,5.1455,19.344
14490.3,9.67478,19.406
14456.8,-1.73022,19.391
14628.5,8.86039,19.375
14692.3,3.26884,19.516
14810.8,6.0863,19.484
14906.5,4.92282,19.438
14983.9,3.96874,19.484
14870.7,-5.80992,19.484
14831.2,-2.02801,19.469
14947.6,5.96886,19.5
15050.6,5.31123,19.406
14946.2,-5.37468,19.438
14968.4,1.13994,19.515
14982,0.694799,19.547
14854,-6.54142,19.563
15040.6,9.46055,19.719
14976.3,-3.27781,19.609
14927.1,-2.49847,19.703
14786.3,-7.16485,19.641
14880.3,4.78178,19.656
14748.9,-6.7027,19.609
14630,-6.03237,19.703
14795,8.31203,19.844
14950.2,7.81388,19.86
15053.2,5.14865,20.015
15162.2,5.45702,19.969
15253.5,4.50825,20.25
15302.6,2.44206,20.109
15175.5,-6.32656,20.094
15346.5,8.44823,20.25
15227.6,-5.87649,20.234
15224.8,-0.141193,20.219
15285.8,3.00707,20.281
15335.7,2.46469,20.266
15385,2.43289,20.266
15327.7,-2.81836,20.359
15236.4,-4.46818,20.422
15267.4,1.51316,20.5
15279.7,0.60186,20.359
15127.9,-9.04523,16.781
15115.6,-0.650255,18.922
15184.9,3.83245,18.078
15284.7,5.50392,18.141
15206.3,-4.31307,18.172
15337.6,7.21948,18.187
15229.3,-5.96094,18.172
15368.7,7.66137,18.188
15356.9,-0.647951,18.203
15249.5,-5.91002,18.172
15091.6,-8.6739,18.203
14990.6,-5.55452,18.172
14892.3,-5.40148,18.203
15042.7,8.28361,18.156
14964.2,-4.30771,18.234
15034.5,3.87608,18.157
14915.9,-6.51384,18.218
14987.1,3.92578,18.141
14843.6,-7.86239,18.25
14768.8,-4.12253,18.156
14609.2,-8.79562,18.141
14500.2,-6.01011,18.14
14421.7,-4.33938,18.094
14517.6,5.27185,18.203
14590.7,4.01904,18.188
14573.9,-0.928995,18.14
14706.9,7.23179,18.391
14642.5,-3.5456,18.141
14460.6,-9.95135,18.281
14343.9,-6.37869,18.297
14191.3,-8.38418,18.203
14365.9,9.55117,18.281
14497.3,7.20049,18.25
14613,6.34856,18.219
14581.3,-1.74479,18.172
14615,1.83691,18.375
14786,9.41112,18.172
14827.3,2.26386,18.218
14890.7,3.50056,18.125
14806.2,-4.6121,18.329
14654.5,-8.2853,18.312
14630.5,-1.31333,18.219
14657.2,1.45431,18.312
14797.3,7.62315,18.375
14888.6,4.98897,18.313
14726.7,-8.88848,18.219
14625.3,-5.55795,18.234
14758,7.24027,18.328
14595.7,-8.90496,18.234
14754.1,8.64443,18.329
14904.6,8.24637,18.25
14993,4.82066,18.328
15014.4,1.17277,18.328
14862.4,-8.28793,18.344
14929.1,3.62868,18.375
14864,-3.53683,18.406
14941,4.17872,18.422
15118.5,9.68761,18.328
14951.4,-9.14017,18.281
14826.8,-6.74398,18.484
14960.9,7.32119,18.313
14991.5,1.66984,18.328
15102.7,6.03924,18.422
14969.2,-7.26362,18.375
15133.4,8.86408,18.516
15235,5.54069,18.343
15157.2,-4.22597,18.422
15167.3,0.550383,18.391
15263,5.21413,18.359
15264.4,0.0778433,18.391
15226.7,-2.05479,18.359
15265.6,2.11232,18.391
15198.4,-3.65367,18.39
15079.1,-6.4404,18.516
15194.7,6.25069,18.484
15114.4,-4.3549,18.438
15139.6,1.36987,18.453
15250,5.97032,18.484
15197.8,-2.81196,18.547
15214.9,0.925469,18.438
15389.4,9.43134,18.5
15392.8,0.186593,18.484
15267,-6.74931,18.641
15437.8,9.26567,18.437
15464.1,1.40528,18.672
15564,5.39898,18.5
15571.7,0.416414,18.578
15479.2,-4.98736,18.547
15542.9,3.43474,18.547
15558.3,0.826605,18.609
15511.3,-2.5415,18.5
15692.6,9.75045,18.594
15509.1,-9.881,18.563
15628.4,6.38716,18.672
15749.6,6.53273,18.546
15699.4,-2.70262,18.579
15725.8,1.42104,18.625
15769.1,2.31376,18.687
15884.6,6.17383,18.719
15980.5,5.12392,18.703
16102.7,6.55992,18.641
16135,1.72817,18.687
15950.2,-9.85115,18.766
15763,-9.99169,18.734
15774.5,0.614516,18.703
15753.4,-1.12337,18.75
15846.5,4.93677,18.86
15992.6,7.76461,18.812
15838.9,-8.18438,18.781
15767.2,-3.8299,18.703
15637.6,-6.92367,18.719
15640.9,0.172446,18.735
15818.4,9.45875,18.765
15674.6,-7.6055,18.906
15750.8,4.06803,18.735
15667.4,-4.40858,18.922
15836.2,8.95907,18.843
15918.2,4.35768,18.813
15805.9,-5.93557,18.922
15978.4,9.1429,18.875
15875.8,-5.43512,18.875
15995.3,6.3151,18.922
15947.2,-2.56482,18.75
15961.8,0.76641,18.968
15889.3,-3.8325,18.922
15862.7,-1.40478,18.938
15784.4,-4.12575,18.969
15633.1,-8.0365,18.828
15560,-3.85021,18.984
15477.6,-4.31442,19.094
15558.3,4.21849,19.125
15460.7,-5.10515,19.109
15370.5,-4.73152,19.063
15335.3,-1.8508,19.015
15197.3,-7.24798,19.047
15083.1,-5.96063,19.156
15160.1,4.00736,19.204
15188.9,1.50444,19.156
15350.9,8.51502,19.031
15359.8,0.464015,19.125
15534,9.1252,19.094
15398.3,-7.08722,19.156
15534.8,7.08121,19.281
15651.1,6.02889,19.282
15500.7,-7.7939,19.296
15625.2,6.49841,19.157
15617.8,-0.381203,19.234
15584.7,-1.72042,19.25
15609.9,1.31455,19.172
15699.6,4.64908,19.297
15752,2.70826,19.328
15869.7,6.07418,19.375
15781.8,-4.5488,19.312
15814.5,1.69285,19.297
15631.6,-9.45606,19.344
15696.3,3.3431,19.359
15795.8,5.1455,19.344
15983.6,9.67478,19.406
15950,-1.73022,19.391
16121.7,8.86039,19.375
16185.5,3.26884,19.516
16304.1,6.0863,19.484
16399.8,4.92282,19.438
16477.1,3.96874,19.484
16363.9,-5.80992,19.484
16324.4,-2.02801,19.469
16440.8,5.96886,19.5
16543.9,5.31123,19.406
16439.4,-5.37468,19.438
16461.6,1.13994,19.515
16475.2,0.694799,19.547
16347.2,-6.54142,19.563
16533.8,9.46055,19.719
16469.5,-3.27781,19.609
16420.3,-2.49847,19.703
16279.6,-7.16485,19.641
16373.6,4.78178,19.656
16242.1,-6.7027,19.609
16123.3,-6.03237,19.703
16288.2,8.31203,19.844
16443.4,7.81388,19.86
16546.5,5.14865,20.015
16655.4,5.45702,19.969
16746.7,4.50825,20.25
16795.8,2.44206,20.109
16668.7,-6.32656,20.094
